,coef,SE,t,p-value
name[T.AT4G28140],-2.4474339854410654,1.2632710739162256,-1.9373783156879028,0.19229859388354403
name[T.AT4G31060],-2.3755047855008384,1.2635757483308827,-1.8799860543689253,0.20086268022150136
name[T.AT4G32800],-2.375504785501098,1.2635757483308827,-1.8799860543691307,0.20086268022146983
name[T.AT4G36780],-14.782371218448496,1.2740144761429257,-11.602985284124928,0.007346058340119538
name[T.AT4G37180],-2.3755047855010663,1.263575748330883,-1.8799860543691054,0.20086268022147372
name[T.AT5G02460],-2.4114693855780405,1.2634230593188887,-1.9086792565572324,0.19651873587546828
name[T.AT5G18450],-2.447433985441118,1.2632710739162258,-1.937378315687944,0.1922985938835381
name[T.AT5G29000],-2.9219825883971318,1.2576484823882679,-2.3233698679048236,0.14579955437396902
name[T.AT5G45580],4.296566783547441,1.2684822946659633,3.38717126885786,0.07720306581034626
name[T.AT5G47660],0.5815218126610877,1.2594343351449648,0.4617325385163116,0.6896294896693262
name[T.AT5G56840],-12.230369871810709,1.6082112226141254,-7.604952446439473,0.01685458056068493
name[T.AT5G61620],-3.2956461929920726,1.2511213190485109,-2.6341539727725536,0.11894637021515309
name[T.AT5G66940],-2.3755047855011835,1.263575748330883,-1.8799860543691982,0.20086268022145948
name[T.AT5G67000],-2.3755047855007962,1.2635757483308825,-1.8799860543688922,0.2008626802215065
name[T.ATHB-12],-8.435822230973884,1.3214127852881725,-6.383941736369841,0.02366935395940767
name[T.ATHB-16],-2.3755047855010223,1.2635757483308827,-1.879986054369071,0.20086268022147902
name[T.ATHB-5],-6.58945120460692,1.2491421338926214,-5.275181283071957,0.03410773502336554
name[T.ATHB-51],-5.503504400665474,1.2473196068362247,-4.412264804066448,0.047719350822287954
name[T.ATHB-6],-45.144067145282406,2.3984395362472224,-18.82226608719025,0.0028107494539739678
name[T.ATHB-9],-4.047220432117971,1.3268641803165195,-3.050214552594613,0.09276877991228155
name[T.ATHB13],-2.5193631857410463,1.262969214954175,-1.99479382071277,0.18421373829073923
name[T.ATHB15],-1.4474339854411942,1.2632710739162256,-1.1457825761450005,0.3704888251399452
name[T.ATHB18],-2.411469385577753,1.263423059318889,-1.9086792565570043,0.19651873587550228
name[T.ATHB20],-91.57124813895398,4.929086714156001,-18.577731220667633,0.002884909076362822
name[T.ATHB21],-2.3755047855011324,1.263575748330883,-1.8799860543691578,0.20086268022146567
name[T.ATHB23],-7.9920706073548855,1.2517452528498734,-6.384742094415121,0.02366362915721429
name[T.ATHB24],-7.06399980749739,1.251908473914311,-5.642584865178329,0.030001965811900035
name[T.ATHB25],-3.05883218658031,1.2607952162994085,-2.4261134140073635,0.1360631699962818
name[T.ATHB33],-2.663221586147944,1.262373951445855,-2.109693077156443,0.1693609871844336
name[T.ATHB34],-2.4114693855779823,1.2634230593188884,-1.9086792565571866,0.19651873587547508
name[T.ATHB4],-2.4833985854862246,1.2631197923772461,-1.966083185833357,0.18819822717016926
name[T.ATHB40],-25.276669713547008,2.0292539041635913,-12.45613950116579,0.006383502566381807
name[T.ATHB53],-2.37550478550086,1.2635757483308827,-1.8799860543689426,0.20086268022149875
name[T.ATHB7],-4.8412034053247055,1.2495280016720778,-3.8744257022222506,0.06062242803553188
name[T.Adof1],-0.850053388091037,1.257895057664688,-0.6757744876342716,0.5688501112758013
name[T.At1g19000],-2.022867586641413,1.2609352023500309,-1.604259745363087,0.24985839310496438
name[T.At1g49010],-2.699186186071071,1.2622268983601042,-2.1384318378715244,0.1659017583360562
name[T.At1g72010],-6.050902794086804,1.249704285701754,-4.841867682872676,0.04010676294516435
name[T.At1g74840],-2.5193631857411813,1.262969214954175,-1.994793820712877,0.18421373829072454
name[T.At2g38090],-12.23036987183557,1.6082112226141265,-7.604952446454927,0.016854580560618157
name[T.At2g45680],-2.3755047855009175,1.2635757483308827,-1.879986054368988,0.20086268022149179
name[T.At3g09600],-2.519363185741102,1.2629692149541754,-1.9947938207128133,0.1842137382907333
name[T.At3g11280],-2.879009186683833,1.2615022220031,-2.282206988198835,0.149971433222328
name[T.At4g01280],-4.438584002394889,1.2478328728067074,-3.5570340380690046,0.0707506045459967
name[T.At5g05790],-4.209699389035972,1.2566907316114377,-3.3498292643870546,0.07873479017724137
name[T.At5g08330],-2.519363185741268,1.2629692149541756,-1.9947938207129445,0.1842137382907153
name[T.At5g08520],-1.0359646000242186,1.2472483031908697,-0.8306001277964314,0.4935644280650735
