,coef,SE,t,p-value
name[T.AT4G32800],-1.2258431032405315e-12,3.1078101716535704e-09,-0.0003944395041954245,0.999721089162664
name[T.AT4G36780],2.2943520615147225e-11,3.1334845995746853e-09,0.007322046713828241,0.9948226005091841
name[T.AT4G37180],-1.2223591144269394e-12,3.107810171653571e-09,-0.0003933184612033622,0.9997218818596734
name[T.AT5G02460],1.0726052580573974e-11,3.1074346275160693e-09,0.0034517387704943786,0.9975592593785394
name[T.AT5G18450],-1.1947510805157774e-12,3.1070608139311195e-09,-0.0003845277424757428,0.9997280978357921
name[T.AT5G29000],1.788871302607284e-11,3.0932318470767597e-09,0.0057831788596701735,0.9959107092031135
name[T.AT5G45580],1.230670423966844e-11,3.119877999504806e-09,0.003944610732093302,0.9972107498523254
name[T.AT5G47660],3.718555689335035e-12,3.0976242164061567e-09,0.0012004540995128451,0.9991511510715482
name[T.AT5G56840],4.999999999981223,3.955453562961872e-09,1264077537.6053681,6.25824515554611e-19
name[T.AT5G61620],1.0322010390514946e-11,3.077178053193697e-09,0.0033543754089244487,0.997628105073737
name[T.AT5G66940],-1.2271112945216878e-12,3.107810171653571e-09,-0.00039484757007175226,0.9997208006165493
name[T.AT5G67000],-1.2082155615615944e-12,3.10781017165357e-09,-0.00038876749055710187,0.9997250998815093
name[T.ATHB-12],0.9999999999949288,3.250062452129517e-09,307686395.17671585,1.0562905942849263e-17
name[T.ATHB-16],-1.2200079813583231e-12,3.1078101716535704e-09,-0.00039256193717558826,0.9997224168028817
name[T.ATHB-5],-5.7933241537355684e-12,3.0723101758486432e-09,-0.001885657313925121,0.9986666401115871
name[T.ATHB-51],1.0000000000112372,3.0678276047550893e-09,325963557.5549458,9.411566212285828e-18
name[T.ATHB-6],1.9999999999764888,5.899048629804263e-09,339037720.3998149,8.699693684403425e-18
name[T.ATHB-9],5.7253980202676136e-12,3.2634703550124095e-09,0.0017543894680930364,0.9987594602648276
name[T.ATHB13],-1.9551135883866255e-13,3.106318380915999e-09,-6.293989696607006e-05,0.9999554947720921
name[T.ATHB15],-1.1976241938264909e-12,3.107060813931119e-09,-0.0003854524470382771,0.999727443970998
name[T.ATHB18],1.0740424066617293e-11,3.1074346275160697e-09,0.003456363642057584,0.9975559891297567
name[T.ATHB20],1.9999999999531415,1.2123266727342344e-08,164972036.41015497,3.674339903729323e-17
name[T.ATHB21],-1.2265468453181647e-12,3.107810171653571e-09,-0.00039466594726587066,0.999720929043252
name[T.ATHB23],0.9999999999959425,3.078712640903911e-09,324811087.1764707,9.478471525338451e-18
name[T.ATHB24],1.0000000000056033,3.079114089004634e-09,324768739.02677214,9.480943573000587e-18
name[T.ATHB25],-1.2906586488171641e-11,3.100971352737143e-09,-0.004162110842068679,0.9970569559452063
name[T.ATHB33],1.7874011949345348e-11,3.1048543088266013e-09,0.005756795704884576,0.9959293644449555
name[T.ATHB34],1.0728105666465374e-11,3.1074346275160685e-09,0.003452399471727873,0.9975587921963924
name[T.ATHB4],-6.429485253662409e-12,3.1066887315243107e-09,-0.002069562099485826,0.9985366001723334
name[T.ATHB40],3.9999999999798006,4.9910232390562506e-09,801438865.0164165,1.556894560815696e-18
name[T.ATHB53],-1.2119329519978683e-12,3.10781017165357e-09,-0.00038996363518336647,0.999724254079629
name[T.ATHB7],0.9999999999980657,3.0732592315831264e-09,325387455.02537256,9.44492230454745e-18
name[T.Adof1],1.1651505416954491e-11,3.093838307871175e-09,0.003766035667510925,0.9973370200835734
name[T.At1g19000],1.2954517321329354e-12,3.1013156534825384e-09,0.00041771037742586537,0.9997046341724342
name[T.At1g49010],4.675440590240498e-12,3.104492626453168e-09,0.0015060240602285187,0.9989350807782202
name[T.At1g72010],1.048564447075906e-12,3.073692808518464e-09,0.00034114158844042697,0.9997587764764873
name[T.At1g74840],-2.0070089253726442e-13,3.106318380915999e-09,-6.461053502123026e-05,0.9999543134525981
name[T.At2g38090],4.999999999983275,3.955453562961874e-09,1264077537.6058862,6.258245155540981e-19
name[T.At2g45680],-1.2161459990098211e-12,3.10781017165357e-09,-0.0003913192672133985,0.9997232955031374
name[T.At3g09600],-2.0047169219800098e-13,3.106318380916e-09,-6.45367498159945e-05,0.9999543656266169
